Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1564232804000,00:e0:4c:99:05:bc,-76,LACI5G,14.31101106,48.80435496,7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1564232804000,00:e0:4c:99:05:c3,-71,LACI5G,14.31101106,48.80435496,7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1584895251000,00:e0:4c:99:06:b4,-61,Smeke_Wifi_5G,14.30600798,48.79653008,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1584895251000,00:e0:4c:99:06:bb,-52,Smeke_Wifi,14.30600798,48.79653008,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564503729000,00:e0:4c:99:08:78,-81,STARNET5_TomikVerca,14.43741724,48.98520248,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5240
1564503729000,00:e0:4c:99:08:7f,-77,STARNET2_TomikVerca,14.43741724,48.98520248,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,82447
1588691878000,00:e0:4c:99:09:93,-80,Spicak128,14.31070042,48.80081247,9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564503948000,00:e0:4c:99:0b:4b,-82,STARNET_MV,14.43532845,48.98709225,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564504379000,00:e0:4c:99:14:0f,-88,Zavadilka_Inet23,14.4285366,48.98795305,9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564570272000,00:e0:4c:99:14:d0,-80,STARNET_5_b32a,14.47205983,48.98636784,12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1564570272000,00:e0:4c:99:14:d7,-70,STARNET_JB,14.47205983,48.98636784,12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564570355000,00:e0:4c:99:14:db,-88,Fouskovi,14.47445121,48.9896034,12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,52432
1589041238000,00:e0:4c:99:17:2c,-85,STARNET_5_htov,14.30475971,48.80323315,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1589041238000,00:e0:4c:99:17:33,-83,STARNET_2_vavd,14.30475971,48.80323315,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1588691601000,00:e0:4c:99:19:5b,-83,Bobina,14.30852983,48.80048263,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564570272000,00:e0:4c:99:4e:93,-89, inet4_Hermanska 2G,14.47205983,48.98636784,12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1588691650000,00:e0:4c:99:51:80,-80,Tomickova 5G,14.30951859,48.8005444,6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1588691654000,00:e0:4c:99:51:87,-71,Tomickova,14.30964971,48.80055524,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564503726000,00:e0:4c:99:51:fc,-90,STARNET_5_oebc,14.43744036,48.98516092,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5240
1564232922000,00:e0:4c:99:52:63,-76,Broucek,14.31033559,48.80277852,6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,112462
1564503336000,00:e0:4c:99:53:78,-88,STARNET_5_zz5l,14.44186512,48.98248105,8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5240
1564503340000,00:e0:4c:99:53:7f,-78,STARNET_2_s1n3,14.44176002,48.98250068,6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,42427
1565374343000,00:e0:4c:99:54:23,-84,Siviglia,14.32041734,48.80937612,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
