Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1565612951000,00:17:ca:d5:03:17,-74,Audi98435,13.76475841,47.89856697,3,[WPA2-PSK-CCMP][ESS],,12412
1565609043000,00:18:0a:79:b3:35,-67,,13.78601422,47.93146747,3,[ESS],,12412
1565604239000,00:18:0a:7f:87:e4,-80,Baeckerei Scherb,14.47801619,48.55768533,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,12412
1565609104000,00:18:0a:7f:dd:47,-72,WLAN-G6,13.78366674,47.92331448,3,[WPA2-EAP-CCMP][ESS],,112462
1565609104000,00:18:0a:7f:dd:56,-74,WLAN-G6,13.78366674,47.92331448,3,[WPA2-EAP-CCMP][ESS],,62437
1565609077000,00:18:18:f5:36:b0,-83,FREISURFEN@SEP,13.78788905,47.92708359,4,[ESS],,62437
1565609074000,00:18:18:f5:36:b6,-88,,13.78812712,47.92756354,4,[WPA--WEP104][ESS],,62437
1565609101000,00:18:18:f5:3b:d0,-89,FREISURFEN@SEP,13.78411979,47.92373021,3,[ESS],,12412
1565609064000,00:18:18:f5:43:e0,-83,FREISURFEN@SEP,13.78843287,47.92908195,4,[ESS],,12412
1565609064000,00:18:18:f5:43:e1,-83,,13.78843287,47.92908195,4,[WPA-PSK-TKIP][ESS],,12412
1565609066000,00:18:18:f5:43:e2,-88,,13.7884592,47.9288041,4,[ESS],,12412
1565609066000,00:18:18:f5:43:e3,-86,,13.7884592,47.9288041,4,[WPA-EAP-TKIP][ESS],,12412
1565609064000,00:18:18:f5:43:e5,-86,,13.78843287,47.92908195,4,[WPA-PSK-TKIP][ESS],,12412
1565609064000,00:18:18:f5:43:e6,-84,,13.78843287,47.92908195,4,[WPA--WEP104][ESS],,12412
1565776759000,00:18:39:d4:9a:46,-73,uyct,13.79020428,47.91436784,6,[WPA2-PSK-CCMP][ESS],,62437
1565776775000,00:18:9b:a0:ad:f8,-80,CaTVGm-Reiter,13.79232659,47.91523165,5,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],,22417
970226572000,00:18:e7:89:71:7b,-68,Ouroboros,14.47180181,48.9764447,47,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565605494000,00:18:f8:40:c6:35,-79,hstech,14.40469639,48.33847242,5,[WPA2-PSK-CCMP+TKIP][ESS],,112462
1565608769000,00:18:f8:fa:1c:e7,-83,stargazer,13.74364485,47.95439778,3,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],,12412
1564768858000,00:19:cb:22:ec:e1,-69,Vitas,14.31115814,48.80105128,16,[WPA-PSK-TKIP][ESS],,62437
969722970000,00:19:cb:2f:46:a5,-69,Stove,14.31880583,48.81141861,24,[WPA2-PSK-CCMP][ESS],,62437
1565600931000,00:19:e0:6d:21:18,-77,Starnet-Stropkova,14.31264449,48.80316343,10,[WPA-PSK-CCMP+TKIP][ESS],,22417
1565601213000,00:19:e0:6d:4a:de,-64,Zdenek,14.29799033,48.77916267,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,112462
